            , GEORGE W. BUSH  , PAT BUCHANAN  , AL GORE        , HARRY BROWNE  , 
            , and             , and           , and            , and           , 
            , DICK CHENEY     , EZOLA FOSTER  , JOE LIEBERMAN  , ART OLIVIER   , TOTAL
            , Republican      , Reform        , Democratic     , Libertarian   , VOTES
            , ================, ==============, ===============, ==============, =========
ADAIR       , "3,503"         , 88            , "2,361"        , 25            , "5,977"
ALFALFA     , "1,886"         , 25            , 583            , 13            , "2,507"
ATOKA       , "2,375"         , 23            , "1,906"        , 20            , "4,324"
BEAVER      , "2,092"         , 21            , 339            , 4             , "2,456"
BECKHAM     , "4,067"         , 34            , "2,408"        , 23            , "6,532"
BLAINE      , "2,633"         , 38            , "1,402"        , 21            , "4,094"
BRYAN       , "6,084"         , 61            , "5,554"        , 47            , "11,746"
CADDO       , "4,835"         , 71            , "4,272"        , 32            , "9,210"
CANADIAN    , "22,679"        , 191           , "8,367"        , 123           , "31,360"
CARTER      , "9,667"         , 74            , "6,659"        , 58            , "16,458"
CHEROKEE    , "6,918"         , 193           , "7,256"        , 101           , "14,468"
CHOCTAW     , "2,461"         , 31            , "2,799"        , 24            , "5,315"
CIMARRON    , "1,230"         , 15            , 227            , 12            , "1,484"
CLEVELAND   , "47,393"        , 462           , "27,792"       , 524           , "76,171"
COAL        , "1,196"         , 9             , "1,148"        , 9             , "2,362"
COMANCHE    , "17,103"        , 124           , "11,971"       , 135           , "29,333"
COTTON      , "1,388"         , 13            , "1,068"        , 13            , "2,482"
CRAIG       , "2,815"         , 74            , "2,568"        , 27            , "5,484"
CREEK       , "13,580"        , 276           , "9,753"        , 132           , "23,741"
CUSTER      , "6,527"         , 46            , "3,115"        , 55            , "9,743"
DELAWARE    , "7,618"         , 149           , "5,514"        , 72            , "13,353"
DEWEY       , "1,607"         , 5             , 599            , 9             , "2,220"
ELLIS       , "1,513"         , 26            , 468            , 6             , "2,013"
GARFIELD    , "14,902"        , 143           , "6,543"        , 95            , "21,683"
GARVIN      , "5,536"         , 73            , "4,189"        , 45            , "9,843"
GRADY       , "10,040"        , 123           , "6,037"        , 76            , "16,276"
GRANT       , "1,762"         , 19            , 709            , 13            , "2,503"
GREER       , "1,287"         , 17            , 839            , 9             , "2,152"
HARMON      , 692             , 3             , 507            , 3             , "1,205"
HARPER      , "1,296"         , 8             , 374            , 5             , "1,683"
HASKELL     , "2,039"         , 60            , "2,510"        , 19            , "4,628"
HUGHES      , "2,196"         , 29            , "2,334"        , 26            , "4,585"
JACKSON     , "5,591"         , 38            , "2,515"        , 15            , "8,159"
JEFFERSON   , "1,320"         , 14            , "1,245"        , 14            , "2,593"
JOHNSTON    , "2,072"         , 31            , "1,809"        , 18            , "3,930"
KAY         , "11,768"        , 163           , "6,122"        , 109           , "18,162"
KINGFISHER  , "4,693"         , 46            , "1,304"        , 13            , "6,056"
KIOWA       , "2,173"         , 23            , "1,544"        , 10            , "3,750"
LATIMER     , "1,739"         , 47            , "1,865"        , 18            , "3,669"
LeFLORE     , "8,215"         , 151           , "6,536"        , 83            , "14,985"
LINCOLN     , "7,387"         , 110           , "4,140"        , 64            , "11,701"
LOGAN       , "8,187"         , 91            , "4,510"        , 82            , "12,870"
LOVE        , "1,807"         , 18            , "1,530"        , 17            , "3,372"
McCLAIN     , "6,750"         , 70            , "3,679"        , 40            , "10,539"
McCURTAIN   , "6,601"         , 89            , "3,752"        , 40            , "10,482"
McINTOSH    , "3,444"         , 91            , "4,206"        , 40            , "7,781"
MAJOR       , "2,672"         , 26            , 635            , 19            , "3,352"
MARSHALL    , "2,641"         , 21            , "2,210"        , 28            , "4,900"
MAYES       , "7,132"         , 166           , "6,618"        , 85            , "14,001"
MURRAY      , "2,609"         , 36            , "2,263"        , 14            , "4,922"
MUSKOGEE    , "11,820"        , 251           , "12,520"       , 102           , "24,693"
NOBLE       , "3,230"         , 31            , "1,416"        , 20            , "4,697"
NOWATA      , "2,069"         , 47            , "1,703"        , 30            , "3,849"
OKFUSKEE    , "1,910"         , 41            , "1,814"        , 23            , "3,788"
OKLAHOMA    , "139,078"       , "1,198"       , "81,590"       , "1,245"       , "223,111"
OKMULGEE    , "5,797"         , 133           , "7,186"        , 62            , "13,178"
OSAGE       , "8,138"         , 148           , "7,540"        , 83            , "15,909"
OTTAWA      , "5,625"         , 101           , "5,647"        , 38            , "11,411"
PAWNEE      , "3,386"         , 65            , "2,435"        , 39            , "5,925"
PAYNE       , "15,256"        , 166           , "9,319"        , 206           , "24,947"
PITTSBURG   , "8,514"         , 145           , "7,627"        , 71            , "16,357"
PONTOTOC    , "7,299"         , 89            , "5,387"        , 61            , "12,836"
POTTAWATOMIE, "13,235"        , 189           , "8,763"        , 129           , "22,316"
PUSHMATAHA  , "2,331"         , 22            , "1,969"        , 26            , "4,348"
ROGER MILLS , "1,234"         , 8             , 441            , 4             , "1,687"
ROGERS      , "17,713"        , 279           , "10,813"       , 146           , "28,951"
SEMINOLE    , "4,011"         , 42            , "3,783"        , 30            , "7,866"
SEQUOYAH    , "6,614"         , 163           , "5,425"        , 52            , "12,254"
STEPHENS    , "10,860"        , 89            , "6,467"        , 72            , "17,488"
TEXAS       , "4,964"         , 25            , "1,084"        , 15            , "6,088"
TILLMAN     , "1,920"         , 16            , "1,400"        , 13            , "3,349"
TULSA       , "134,152"       , "1,507"       , "81,656"       , "1,376"       , "218,691"
WAGONER     , "12,981"        , 209           , "8,244"        , 83            , "21,517"
WASHINGTON  , "13,788"        , 192           , "6,644"        , 120           , "20,744"
WASHITA     , "2,850"         , 31            , "1,564"        , 23            , "4,468"
WOODS       , "2,774"         , 24            , "1,235"        , 13            , "4,046"
WOODWARD    , "5,067"         , 48            , "1,950"        , 35            , "7,100"
STATE TOTAL:, "744,337"       , "9,014"       , "474,276"      , "6,602"       , "1,234,229"