,"STEVE M.
LARGENT (R)","BRAD
HENRY (D)","GARY L.
RICHARDSON (I)","TOTAL
VOTES"
=============,,===========,================,=======
ADAIR,"2,374","2,803",874,"6,051"
ALFALFA,964,782,297,"2,043"
ATOKA,"1,211","2,429",181,"3,821"
BEAVER,"1,297",561,119,"1,977"
BECKHAM,"2,105","2,511",649,"5,265"
BLAINE,"1,285","1,554",553,"3,392"
BRYAN,"3,422","6,158",383,"9,963"
CADDO,"2,341","3,948","1,463","7,752"
CANADIAN,"14,422","9,658","4,485","28,565"
CARTER,"5,458","7,099",900,"13,457"
CHEROKEE,"3,731","6,549","2,520","12,800"
CHOCTAW,"1,183","2,472",213,"3,868"
CIMARRON,909,298,74,"1,281"
CLEVELAND,"29,160","28,112","8,022","65,294"
COAL,554,"1,360",132,"2,046"
COMANCHE,"9,077","8,363","4,340","21,780"
COTTON,717,799,333,"1,849"
CRAIG,"1,409","2,253",851,"4,513"
CREEK,"7,497","8,385","4,132","20,014"
CUSTER,"3,438","3,426","1,179","8,043"
DELAWARE,"4,253","4,845","1,728","10,826"
DEWEY,744,820,283,"1,847"
ELLIS,739,633,270,"1,642"
GARFIELD,"8,381","6,421","2,767","17,569"
GARVIN,"3,064","4,525","1,275","8,864"
GRADY,"5,583","6,291","2,509","14,383"
GRANT,941,875,325,"2,141"
GREER,651,957,331,"1,939"
HARMON,310,446,133,889
HARPER,642,594,186,"1,422"
HASKELL,"1,165","2,516",509,"4,190"
HUGHES,"1,173","2,355",578,"4,106"
JACKSON,"3,156","2,363",785,"6,304"
JEFFERSON,756,"1,057",155,"1,968"
JOHNSTON,990,"2,280",141,"3,411"
KAY,"7,264","6,071","2,279","15,614"
KINGFISHER,"2,426","1,767",708,"4,901"
KIOWA,"1,000","1,742",373,"3,115"
LATIMER,914,"1,984",377,"3,275"
LeFLORE,"4,468","6,941",499,"11,908"
LINCOLN,"4,251","4,935","2,103","11,289"
LOGAN,"5,048","4,245","1,964","11,257"
LOVE,884,"1,753",95,"2,732"
McCLAIN,"4,115","4,102","1,536","9,753"
McCURTAIN,"3,035","5,187",427,"8,649"
McINTOSH,"1,809","3,631","1,357","6,797"
MAJOR,"1,490",907,398,"2,795"
MARSHALL,"1,402","2,694",172,"4,268"
MAYES,"4,025","6,460","1,981","12,466"
MURRAY,"1,325","2,662",463,"4,450"
MUSKOGEE,"6,132","9,867","4,275","20,274"
NOBLE,"1,767","1,757",704,"4,228"
NOWATA,"1,241","1,718",709,"3,668"
OKFUSKEE,976,"1,932",602,"3,510"
OKLAHOMA,"91,270","73,236","24,570","189,076"
OKMULGEE,"3,341","5,823","1,974","11,138"
OSAGE,"4,696","6,843","2,347","13,886"
OTTAWA,"3,018","4,508","1,136","8,662"
PAWNEE,"1,814","2,251",904,"4,969"
PAYNE,"8,697","8,714","2,595","20,006"
PITTSBURG,"4,987","8,557","1,977","15,521"
PONTOTOC,"3,904","5,447","1,107","10,458"
POTTAWATOMIE,"6,674","10,740","2,125","19,539"
PUSHMATAHA,"1,119","2,336",321,"3,776"
ROGER MILLS,632,614,185,"1,431"
ROGERS,"10,265","10,508","4,184","24,957"
SEMINOLE,"2,307","4,260",882,"7,449"
SEQUOYAH,"3,391","5,158",865,"9,414"
STEPHENS,"6,290","5,484","2,482","14,256"
TEXAS,"3,208","1,424",282,"4,914"
TILLMAN,"1,034","1,263",338,"2,635"
TULSA,"84,187","65,383","25,158","174,728"
WAGONER,"7,595","7,320","3,676","18,591"
WASHINGTON,"8,700","5,801","2,687","17,188"
WASHITA,"1,440","1,810",554,"3,804"
WOODS,"1,339","1,471",353,"3,163"
WOODWARD,"2,695","2,339",801,"5,835"
STATE TOTAL:,"441,277","448,143","146,200","1,035,620"